word,FREQcount,Lg10WF,CDcount,Lg10CD,Dom_PoS_SUBTLEX,Percentage_dom_PoS,animacy_mental_rating,animacy_physical_rating,total_animacy
grandma,2325,3.3666,853,2.9315,Noun,1.00,647,605,1252
buyer,264,2.4232,188,2.2765,Noun,1.00,615,636,1251
guardian,358,2.5551,247,2.3945,Noun,1.00,618,633,1251
gymnast,30,1.4914,22,1.3617,Noun,0.97,621,630,1251
warrior,516,2.7135,267,2.4281,Noun,1.00,588,663,1251
director,1834,3.2636,809,2.9085,Noun,0.99,651,599,1250
fireman,149,2.1761,105,2.0253,Noun,0.98,609,641,1250
gangster,272,2.4362,171,2.2355,Noun,0.99,608,641,1249
dictator,108,2.0374,72,1.8633,Noun,1.00,628,620,1248
lawyer,4055,3.6081,1686,3.2271,Noun,1.00,609,639,1248
thief,1238,3.0931,704,2.8482,Noun,1.00,589,659,1248
driver,2416,3.3833,1398,3.1458,Noun,1.00,623,624,1247
husband,9935,3.9972,3377,3.5287,Noun,0.99,592,654,1246
